"This table will help us to remove not desired urls in SiteMap.","Ce tableau nous aidera à supprimer les URL non souhaitées dans SiteMap."
"URLs to remove from SiteMap","URL à supprimer du SiteMap"
"Add New URL","Ajouter une nouveau URL"
